PCODE,NAME,ST_PCODE,FILL_COLOR,BORDER_COLOR,BORDER_WIDTH,LABEL,CATEGORY,LABEL_COLOR,DESCRIPTION
MMR006009,Kawthoung,MMR006,#66BB6A,#2E7D32,1.5,Kawthoung,Coastal,#333333,
MMR006006,Kyunsu,MMR006,#66BB6A,#2E7D32,1.5,Kyunsu,Coastal,#333333,
MMR006005,Myeik,MMR006,#66BB6A,#2E7D32,1.5,Myeik,Coastal,#333333,
MMR006007,Palaw,MMR006,#66BB6A,#2E7D32,1.5,Palaw,Coastal,#333333,
MMR013019,Dagon Myothit (North),MMR013,#42A5F5,#1565C0,1.5,Dagon Myothit (North),Development Zone,#333333,
MMR013021,Dagon Myothit (Seikkan),MMR013,#42A5F5,#1565C0,1.5,Dagon Myothit (Seikkan),Development Zone,#333333,
MMR013018,Dagon Myothit (South),MMR013,#42A5F5,#1565C0,1.5,Dagon Myothit (South),Development Zone,#333333,
MMR013022,Mingalartaungnyunt,MMR013,#42A5F5,#1565C0,1.5,Mingalartaungnyunt,Development Zone,#333333,
MMR013012,North Okkalapa,MMR013,#42A5F5,#1565C0,1.5,North Okkalapa,Development Zone,#333333,
MMR013016,Pazundaung,MMR013,#42A5F5,#1565C0,1.5,Pazundaung,Development Zone,#333333,
MMR013011,South Okkalapa,MMR013,#42A5F5,#1565C0,1.5,South Okkalapa,Development Zone,#333333,
MMR013010,Yankin,MMR013,#42A5F5,#1565C0,1.5,Yankin,Development Zone,#333333,
MMR013015,Tamwe,MMR013,#42A5F5,#1565C0,1.5,Tamwe,Development Zone,#333333,
MMR013002,Mingaladon,MMR013,#42A5F5,#1565C0,1.5,Mingaladon,Development Zone,#333333,
MMR013007,Shwepyithar,MMR013,#42A5F5,#1565C0,1.5,Shwepyithar,Development Zone,#333333,
MMR013005,Taikkyi,MMR013,#42A5F5,#1565C0,1.5,Taikkyi,Development Zone,#333333,
MMR013013,Thaketa,MMR013,#42A5F5,#1565C0,1.5,Thaketa,Development Zone,#333333,
MMR013031,Seikgyikanaungto,MMR013,#42A5F5,#1565C0,1.5,Seikgyikanaungto,Development Zone,#333333,
MMR013009,Thingangyun,MMR013,#42A5F5,#1565C0,1.5,Thingangyun,Development Zone,#333333,
MMR013023,Thanlyin,MMR013,#42A5F5,#1565C0,1.5,Thanlyin,Development Zone,#333333,
